osm_id,code,fclass,name,longitude,latitude,facility_count,status
"6660162569",5250,fuel,SPBU Pertamina,105.221,-4.022,0,tidak stra
"6711367885",5250,fuel,,100.358,-0.965,55,strategis
"6727139476",5250,fuel,SPBU,105.211,-4.664,3,tidak stra
"6735711185",5250,fuel,SPBU Kekiling,105.648,-5.727,6,strategis
"6753158641",5250,fuel,Pertamina,102.864,-3.279,0,tidak stra
"6846246168",5250,fuel,Pertamina,103.383,-1.058,0,tidak stra
"6851542541",5250,fuel,pelabuhan,105.703,3.033,2,tidak stra
"6866167439",5250,fuel,Pertamina,103.961,1.046,13,strategis
"6876142701",5250,fuel,PERTAMINA Bengkong,104.032,1.159,41,strategis
"6882325714",5250,fuel,Pertamina,103.986,1.040,11,strategis
"6960129397",5250,fuel,SPBU Yos Sudarso,101.436,0.538,29,strategis
"7019691798",5250,fuel,SPBU 14.262.539,100.628,-0.227,58,strategis
"7023101934",5250,fuel,Pertamina,102.699,1.001,6,strategis
"7037657482",5250,fuel,adi,104.712,-2.894,0,tidak stra
"7057317553",5250,fuel,Pertamina,95.608,5.367,1,tidak stra
"7057358761",5250,fuel,Pertamina,95.730,5.445,0,tidak stra
"7057361428",5250,fuel,Pertamina,95.892,5.373,1,tidak stra
"7083498380",5250,fuel,Pertamina,97.950,3.319,1,tidak stra
"7083528365",5250,fuel,Pertamina,97.860,3.443,1,tidak stra
"7168327070",5250,fuel,SPBU 24-31691,102.948,-3.181,1,tidak stra
"7187746047",5250,fuel,,101.366,0.478,116,strategis
"7550767104",5250,fuel,SPBU UB Baturaja,104.182,-4.140,5,strategis
"7550767107",5250,fuel,SPBU Kemelak Baturaja,104.182,-4.153,1,tidak stra
"7657654311",5250,fuel,Pom Bensin Perandonan,103.214,-3.971,0,tidak stra
"7659509754",5250,fuel,Pom Spbu Pendopo,102.970,-3.790,3,tidak stra
"7687475601",5250,fuel,Pom Spbu Pertamina Air Perikan,103.236,-4.030,7,strategis
"7949579881",5250,fuel,,98.630,2.919,0,tidak stra
"7973241600",5250,fuel,SPBU Kota Baru Martapura,104.351,-4.332,0,tidak stra
"7973241686",5250,fuel,SPBU Air Karang,104.178,-4.130,10,strategis
"7973241704",5250,fuel,SPBU Bumi Ratu,104.541,-4.604,1,tidak stra
"7973241725",5250,fuel,SPBU,104.984,-5.285,1,tidak stra
"7973242297",5250,fuel,SPBU Baradatu,104.543,-4.734,2,tidak stra
"7973242315",5250,fuel,SPBU,105.190,-5.096,12,strategis
"7973242317",5250,fuel,SPBU,104.970,-5.242,0,tidak stra
"7973242392",5250,fuel,SPBU Lampung Tengah,105.207,-5.012,9,strategis
"8026875987",5250,fuel,,98.470,3.089,0,tidak stra
"8379956789",5250,fuel,SPBU Pertamina,101.147,1.263,3,tidak stra
"8547299203",5250,fuel,Spbu Jaka baring,104.772,-3.004,3,tidak stra
"8570735008",5250,fuel,Pertamina,104.021,1.155,43,strategis
"8582603064",5250,fuel,Pump bensin dan indomaret muara enim,103.775,-3.632,0,tidak stra
"8828890334",5250,fuel,SPBU Kijang (SPBU 14291715),104.606,0.863,5,strategis
"8831232748",5250,fuel,SPBU 13.291.701 KM 19 Kijang,104.574,0.890,3,tidak stra
"8852183830",5250,fuel,Pertashop,105.090,-4.542,1,tidak stra
"8925258782",5250,fuel,Pertamina,102.512,-3.444,3,tidak stra
"9355074628",5250,fuel,PERTAMINA REGATA,104.043,1.133,45,strategis
"9355230167",5250,fuel,Pertamina,104.018,1.134,93,strategis
"9355916707",5250,fuel,PERTAMINA Marchelia,104.033,1.122,49,strategis
"9355932919",5250,fuel,PERTAMINA Aston,104.021,1.142,123,strategis
"9357287710",5250,fuel,PGN Gas Station,104.058,1.128,30,strategis
"9479323217",5250,fuel,Pom Pertamina,105.288,-5.389,66,strategis
"9580886112",5250,fuel,Pertamina,98.673,3.695,1,tidak stra
"9587107284",5250,fuel,,101.018,-1.442,0,tidak stra
"9587107289",5250,fuel,,101.114,-1.544,1,tidak stra
"9587107290",5250,fuel,,101.084,-1.513,0,tidak stra
"9663624918",5250,fuel,Pertamina,102.248,-0.243,0,tidak stra
"9663669745",5250,fuel,Pertamina,99.698,0.676,0,tidak stra
"9670047035",5250,fuel,Pom Mini,102.017,-2.115,2,tidak stra
"9688092587",5250,fuel,Pertamina,105.747,-5.865,2,tidak stra
"9710427404",5250,fuel,,97.973,4.485,2,tidak stra
"9717063879",5250,fuel,Pertamina,98.953,3.568,54,strategis
"9725548938",5250,fuel,SPBU Pertamina,101.102,-2.555,2,tidak stra
"9726425168",5250,fuel,Pertashop 2P.371.238,101.597,-2.169,0,tidak stra
"9728705132",5250,fuel,SPBU Pertamina,103.742,-5.024,1,tidak stra
"9730050917",5250,fuel,Pertamina,98.689,3.538,62,strategis
"9730050918",5250,fuel,Pertamina,98.654,3.540,11,strategis
"9738840608",5250,fuel,SPBU Sungai Rengas,102.865,-1.626,0,tidak stra
"9763960710",5250,fuel,SPBU Batu 7,104.482,0.916,14,strategis
"9765678098",5250,fuel,SPBU Batu 8 Bawah,104.504,0.924,40,strategis
"9768499120",5250,fuel,Bensin Eceran Bewok,105.253,-5.406,75,strategis
"9768531569",5250,fuel,SPBU Imam Bonjol,105.232,-5.394,4,tidak stra
"9771280581",5250,fuel,SPBU Antasari,105.282,-5.403,45,strategis
"9774202364",5250,fuel,Pertamini,105.318,-5.116,19,strategis
"9774244549",5250,fuel,SPBU Yos Sudarso,105.304,-5.449,1,tidak stra
"9774327455",5250,fuel,SPBU Bumi Agung,105.182,-5.174,7,strategis
